corpus_id	corpus	pattern	count	total	proportion	extraction_status
ssj	UD Slovenian-SSJ	SVO	1406	1969	0.714068	stark_direct_exact
ssj	UD Slovenian-SSJ	SOV	132	1969	0.067039	stark_direct_exact
ssj	UD Slovenian-SSJ	VSO	80	1969	0.040630	stark_direct_exact
ssj	UD Slovenian-SSJ	VOS	37	1969	0.018791	stark_direct_exact
ssj	UD Slovenian-SSJ	OSV	32	1969	0.016252	stark_direct_exact
ssj	UD Slovenian-SSJ	OVS	282	1969	0.143220	stark_direct_exact
sst	UD Slovenian-SST	SVO	108	168	0.642857	stark_direct_exact
sst	UD Slovenian-SST	SOV	18	168	0.107143	stark_direct_exact
sst	UD Slovenian-SST	VSO	16	168	0.095238	stark_direct_exact
sst	UD Slovenian-SST	VOS	4	168	0.023810	stark_direct_exact
sst	UD Slovenian-SST	OSV	4	168	0.023810	stark_direct_exact
sst	UD Slovenian-SST	OVS	18	168	0.107143	stark_direct_exact
suk-literary	SUK literary	SVO	112	162	0.691358	stark_direct_exact
suk-literary	SUK literary	SOV	8	162	0.049383	stark_direct_exact
suk-literary	SUK literary	VSO	6	162	0.037037	stark_direct_exact
suk-literary	SUK literary	VOS	4	162	0.024691	stark_direct_exact
suk-literary	SUK literary	OSV	4	162	0.024691	stark_direct_exact
suk-literary	SUK literary	OVS	28	162	0.172840	stark_direct_exact
suk-publicistic	SUK publicistic/general	SVO	2035	2837	0.717307	stark_direct_exact
suk-publicistic	SUK publicistic/general	SOV	193	2837	0.068030	stark_direct_exact
suk-publicistic	SUK publicistic/general	VSO	102	2837	0.035953	stark_direct_exact
suk-publicistic	SUK publicistic/general	VOS	51	2837	0.017977	stark_direct_exact
suk-publicistic	SUK publicistic/general	OSV	46	2837	0.016214	stark_direct_exact
suk-publicistic	SUK publicistic/general	OVS	410	2837	0.144519	stark_direct_exact
suk-professional	SUK professional	SVO	831	1105	0.752036	stark_direct_exact
suk-professional	SUK professional	SOV	50	1105	0.045249	stark_direct_exact
suk-professional	SUK professional	VSO	46	1105	0.041629	stark_direct_exact
suk-professional	SUK professional	VOS	17	1105	0.015385	stark_direct_exact
suk-professional	SUK professional	OSV	20	1105	0.018100	stark_direct_exact
suk-professional	SUK professional	OVS	141	1105	0.127602	stark_direct_exact
aigent-gpt5	AI-GenT GPT-5	SVO	1708	1920	0.889583	stark_direct_exact
aigent-gpt5	AI-GenT GPT-5	SOV	89	1920	0.046354	stark_direct_exact
aigent-gpt5	AI-GenT GPT-5	VSO	16	1920	0.008333	stark_direct_exact
