anonymous_pair_id	condition	SVO	SOV	VSO	VOS	OSV	OVS
essay-pair-0001	human	3	0	1	0	0	2
essay-pair-0001	gpt5	11	0	0	0	0	1
essay-pair-0002	human	6	0	0	0	0	1
essay-pair-0002	gpt5	9	0	0	0	0	0
essay-pair-0003	human	0	0	0	0	0	0
essay-pair-0003	gpt5	6	0	0	0	0	0
essay-pair-0004	human	1	0	0	0	0	0
essay-pair-0004	gpt5	11	0	0	0	0	1
essay-pair-0005	human	3	0	0	0	0	1
essay-pair-0005	gpt5	8	0	0	0	0	0
essay-pair-0006	human	1	0	0	0	0	2
essay-pair-0006	gpt5	15	0	1	0	0	3
essay-pair-0007	human	3	0	1	0	0	0
essay-pair-0007	gpt5	7	2	0	0	1	1
essay-pair-0008	human	0	0	0	0	0	0
essay-pair-0008	gpt5	11	0	2	0	0	2
essay-pair-0009	human	7	0	0	0	0	0
essay-pair-0009	gpt5	12	1	0	0	0	0
essay-pair-0010	human	2	0	0	0	0	0
essay-pair-0010	gpt5	11	1	0	0	1	1
essay-pair-0011	human	1	0	0	0	0	0
essay-pair-0011	gpt5	4	0	0	0	0	0
essay-pair-0012	human	2	0	1	0	0	0
essay-pair-0012	gpt5	7	0	0	0	0	0
essay-pair-0013	human	1	1	0	0	0	0
essay-pair-0013	gpt5	2	0	0	0	0	0
essay-pair-0014	human	1	0	0	0	0	1
essay-pair-0014	gpt5	6	0	0	0	0	0
essay-pair-0015	human	2	0	0	0	0	0
essay-pair-0015	gpt5	6	0	0	0	0	0
essay-pair-0016	human	0	0	0	0	0	0
essay-pair-0016	gpt5	7	0	0	0	0	0
essay-pair-0017	human	0	0	0	0	0	0
essay-pair-0017	gpt5	16	1	0	0	0	0
essay-pair-0018	human	1	0	0	0	0	1
essay-pair-0018	gpt5	4	0	0	0	1	0
essay-pair-0019	human	1	0	1	0	0	0
essay-pair-0019	gpt5	0	0	0	0	0	0
essay-pair-0020	human	1	0	0	0	0	0
essay-pair-0020	gpt5	0	0	0	0	0	0
essay-pair-0021	human	0	0	0	0	0	0
essay-pair-0021	gpt5	4	0	0	0	0	0
essay-pair-0022	human	1	0	0	0	0	0
essay-pair-0022	gpt5	2	0	0	0	0	1
essay-pair-0023	human	0	0	0	0	0	0
essay-pair-0023	gpt5	3	0	0	0	0	0
essay-pair-0024	human	1	0	0	0	0	0
essay-pair-0024	gpt5	2	0	0	1	0	1
essay-pair-0025	human	0	0	0	0	0	0
essay-pair-0025	gpt5	2	0	0	0	0	0
essay-pair-0026	human	2	0	0	0	0	0
essay-pair-0026	gpt5	4	0	0	0	0	0
essay-pair-0027	human	1	0	0	0	0	0
essay-pair-0027	gpt5	1	0	0	0	0	0
essay-pair-0028	human	0	0	0	0	0	1
essay-pair-0028	gpt5	0	0	0	0	0	1
essay-pair-0029	human	1	0	0	0	0	1
essay-pair-0029	gpt5	0	0	0	0	0	1
essay-pair-0030	human	1	0	0	0	0	0
essay-pair-0030	gpt5	4	0	0	0	0	0
essay-pair-0031	human	1	0	1	0	0	0
essay-pair-0031	gpt5	2	1	0	0	0	0
essay-pair-0032	human	0	0	0	0	0	1
essay-pair-0032	gpt5	0	0	0	0	0	0
essay-pair-0033	human	1	0	0	0	0	1
essay-pair-0033	gpt5	3	0	0	0	0	0
essay-pair-0034	human	1	0	0	0	0	0
essay-pair-0034	gpt5	4	0	0	0	0	1
essay-pair-0035	human	0	1	0	0	0	0
essay-pair-0035	gpt5	0	0	0	1	0	0
