corpus_id	role	entity_status	pattern	count	total	proportion
janes-news	subject	entity	SVO	12178	16155	0.753822
janes-news	subject	entity	SOV	1019	16155	0.063076
janes-news	subject	entity	VSO	1231	16155	0.076199
janes-news	subject	entity	VOS	196	16155	0.012132
janes-news	subject	entity	OSV	306	16155	0.018942
janes-news	subject	entity	OVS	1225	16155	0.075828
janes-news	subject	common	SVO	42114	58236	0.723161
janes-news	subject	common	SOV	3504	58236	0.060169
janes-news	subject	common	VSO	3084	58236	0.052957
janes-news	subject	common	VOS	1835	58236	0.031510
janes-news	subject	common	OSV	1537	58236	0.026393
janes-news	subject	common	OVS	6162	58236	0.105811
janes-news	object	entity	SVO	2396	3517	0.681262
janes-news	object	entity	SOV	282	3517	0.080182
janes-news	object	entity	VSO	111	3517	0.031561
janes-news	object	entity	VOS	112	3517	0.031845
janes-news	object	entity	OSV	119	3517	0.033836
janes-news	object	entity	OVS	497	3517	0.141314
janes-news	object	common	SVO	51896	70874	0.732229
janes-news	object	common	SOV	4241	70874	0.059839
janes-news	object	common	VSO	4204	70874	0.059317
janes-news	object	common	VOS	1919	70874	0.027076
janes-news	object	common	OSV	1724	70874	0.024325
janes-news	object	common	OVS	6890	70874	0.097215
human-essays	subject	entity	SVO	648	860	0.753488
human-essays	subject	entity	SOV	97	860	0.112791
human-essays	subject	entity	VSO	34	860	0.039535
human-essays	subject	entity	VOS	8	860	0.009302
human-essays	subject	entity	OSV	26	860	0.030233
human-essays	subject	entity	OVS	47	860	0.054651
human-essays	subject	common	SVO	1255	1769	0.709440
human-essays	subject	common	SOV	122	1769	0.068966
human-essays	subject	common	VSO	131	1769	0.074053
human-essays	subject	common	VOS	11	1769	0.006218
human-essays	subject	common	OSV	65	1769	0.036744
human-essays	subject	common	OVS	185	1769	0.104579
human-essays	object	entity	SVO	67	171	0.391813
human-essays	object	entity	SOV	26	171	0.152047
human-essays	object	entity	VSO	2	171	0.011696
human-essays	object	entity	VOS	0	171	0.000000
human-essays	object	entity	OSV	25	171	0.146199
human-essays	object	entity	OVS	51	171	0.298246
human-essays	object	common	SVO	1836	2458	0.746949
human-essays	object	common	SOV	193	2458	0.078519
human-essays	object	common	VSO	163	2458	0.066314
human-essays	object	common	VOS	19	2458	0.007730
human-essays	object	common	OSV	66	2458	0.026851
human-essays	object	common	OVS	181	2458	0.073637
gpt5-essays	subject	entity	SVO	1046	1136	0.920775
gpt5-essays	subject	entity	SOV	74	1136	0.065141
gpt5-essays	subject	entity	VSO	2	1136	0.001761
gpt5-essays	subject	entity	VOS	1	1136	0.000880
gpt5-essays	subject	entity	OSV	9	1136	0.007923
gpt5-essays	subject	entity	OVS	4	1136	0.003521
gpt5-essays	subject	common	SVO	2909	3261	0.892058
gpt5-essays	subject	common	SOV	130	3261	0.039865
gpt5-essays	subject	common	VSO	44	3261	0.013493
gpt5-essays	subject	common	VOS	5	3261	0.001533
gpt5-essays	subject	common	OSV	25	3261	0.007666
gpt5-essays	subject	common	OVS	148	3261	0.045385
gpt5-essays	object	entity	SVO	47	57	0.824561
gpt5-essays	object	entity	SOV	6	57	0.105263
gpt5-essays	object	entity	VSO	0	57	0.000000
gpt5-essays	object	entity	VOS	0	57	0.000000
gpt5-essays	object	entity	OSV	0	57	0.000000
gpt5-essays	object	entity	OVS	4	57	0.070175
gpt5-essays	object	common	SVO	3908	4340	0.900461
gpt5-essays	object	common	SOV	198	4340	0.045622
gpt5-essays	object	common	VSO	46	4340	0.010599
gpt5-essays	object	common	VOS	6	4340	0.001382
gpt5-essays	object	common	OSV	34	4340	0.007834
gpt5-essays	object	common	OVS	148	4340	0.034101
