anonymous_cluster_id	SVO	SOV	VSO	VOS	OSV	OVS
sst-event-001	1	0	1	0	0	1
sst-event-002	2	1	0	0	0	0
sst-event-003	4	0	0	0	0	0
sst-event-004	4	2	1	0	1	0
sst-event-005	2	0	1	0	0	0
sst-event-006	0	1	0	0	0	0
sst-event-007	2	0	0	0	0	0
sst-event-008	3	0	1	0	0	0
sst-event-009	1	2	0	0	0	0
sst-event-010	1	0	0	0	0	0
sst-event-011	1	0	0	0	0	0
sst-event-012	3	1	0	0	0	0
sst-event-013	6	1	1	0	0	0
sst-event-014	2	0	0	0	0	1
sst-event-015	3	2	0	0	0	0
sst-event-016	2	0	2	2	0	1
sst-event-017	2	0	1	0	0	0
sst-event-018	3	0	0	0	0	0
sst-event-019	4	0	1	0	0	1
sst-event-020	0	0	0	0	0	1
sst-event-021	2	0	0	0	0	1
sst-event-022	0	1	0	0	0	0
sst-event-023	1	0	0	0	0	0
sst-event-024	1	0	0	0	0	1
sst-event-025	1	0	0	0	0	0
sst-event-026	1	0	0	0	0	0
sst-event-027	1	0	0	0	0	0
sst-event-028	2	0	1	0	0	0
sst-event-029	3	0	2	0	0	1
sst-event-030	1	0	0	0	0	0
sst-event-031	1	0	0	0	0	0
sst-event-032	1	0	0	0	0	0
sst-event-033	1	0	0	0	0	1
sst-event-034	2	0	0	0	1	0
sst-event-035	1	0	0	0	0	0
sst-event-036	0	0	1	0	0	0
sst-event-037	2	1	0	0	0	0
sst-event-038	3	0	1	0	0	0
sst-event-039	1	0	0	0	0	0
sst-event-040	1	0	0	0	0	0
sst-event-041	3	0	0	0	0	0
sst-event-042	1	0	0	0	0	0
sst-event-043	0	0	0	0	0	1
sst-event-044	1	0	0	0	0	0
sst-event-045	1	0	0	0	0	0
sst-event-046	1	0	0	0	0	0
sst-event-047	2	0	0	0	0	0
sst-event-048	0	0	0	1	0	0
sst-event-049	1	0	0	0	0	0
sst-event-050	0	0	0	0	0	1
sst-event-051	1	0	0	0	0	1
sst-event-052	3	0	0	0	0	0
sst-event-053	0	0	0	0	0	1
sst-event-054	0	0	0	0	0	1
sst-event-055	0	0	0	0	1	0
sst-event-056	1	0	0	0	0	0
sst-event-057	1	0	0	0	0	0
sst-event-058	0	0	0	0	1	0
sst-event-059	1	0	0	0	0	0
sst-event-060	1	0	0	0	0	0
sst-event-061	1	0	0	0	0	0
sst-event-062	1	0	0	0	0	0
sst-event-063	1	0	0	0	0	0
sst-event-064	2	0	0	0	0	2
sst-event-065	0	1	0	0	0	0
sst-event-066	1	0	0	0	0	0
sst-event-067	0	0	0	0	0	1
sst-event-068	1	1	0	0	0	0
sst-event-069	0	0	0	0	0	1
sst-event-070	0	1	0	0	0	0
sst-event-071	1	0	0	0	0	0
sst-event-072	2	0	0	0	0	0
sst-event-073	1	0	0	0	0	0
sst-event-074	2	0	0	0	0	0
sst-event-075	0	0	0	1	0	0
sst-event-076	0	0	1	0	0	0
sst-event-077	1	0	0	0	0	0
sst-event-078	0	0	1	0	0	0
sst-event-079	3	0	0	0	0	0
sst-event-080	1	0	0	0	0	0
sst-event-081	0	1	0	0	0	0
sst-event-082	0	1	0	0	0	0
sst-event-083	0	1	0	0	0	0
