anonymous_cluster_id	SVO	SOV	VSO	VOS	OSV	OVS
sst-speaker-001	0	0	1	0	0	0
sst-speaker-002	0	0	0	0	0	1
sst-speaker-003	1	0	0	0	0	0
sst-speaker-004	0	0	0	1	0	0
sst-speaker-005	2	0	0	0	0	0
sst-speaker-006	1	0	0	0	0	0
sst-speaker-007	2	0	0	0	0	0
sst-speaker-008	3	0	0	0	0	0
sst-speaker-009	1	0	0	0	0	1
sst-speaker-010	1	0	0	0	0	0
sst-speaker-011	2	0	0	0	0	0
sst-speaker-012	0	0	0	0	0	1
sst-speaker-013	1	0	0	0	0	0
sst-speaker-014	0	1	0	0	0	0
sst-speaker-015	2	1	0	0	0	0
sst-speaker-016	1	0	1	0	0	1
sst-speaker-017	6	1	1	0	0	0
sst-speaker-018	3	0	0	0	0	0
sst-speaker-019	4	0	0	0	0	0
sst-speaker-020	1	1	0	0	0	0
sst-speaker-021	1	2	1	0	1	0
sst-speaker-022	2	0	1	0	0	0
sst-speaker-023	0	1	0	0	0	0
sst-speaker-024	2	0	0	0	0	0
sst-speaker-025	3	0	1	0	0	0
sst-speaker-026	1	2	0	0	0	0
sst-speaker-027	1	0	0	0	0	0
sst-speaker-028	1	0	0	0	0	0
sst-speaker-029	2	0	0	0	0	0
sst-speaker-030	1	0	0	0	0	0
sst-speaker-031	1	0	0	0	0	1
sst-speaker-032	2	1	0	0	0	0
sst-speaker-033	1	1	0	0	0	0
sst-speaker-034	2	0	1	1	0	0
sst-speaker-035	0	0	1	1	0	1
sst-speaker-036	4	0	0	0	0	0
sst-speaker-037	2	0	1	0	0	0
sst-speaker-038	2	0	0	0	0	0
sst-speaker-039	1	0	1	0	0	1
sst-speaker-040	0	0	0	0	0	1
sst-speaker-041	1	0	0	0	0	0
sst-speaker-042	1	0	0	0	0	1
sst-speaker-043	0	1	0	0	0	0
sst-speaker-044	1	0	0	0	0	0
sst-speaker-045	1	0	0	0	0	1
sst-speaker-046	1	0	0	0	0	0
sst-speaker-047	1	0	0	0	0	0
sst-speaker-048	1	0	0	0	0	0
sst-speaker-049	2	0	1	0	0	0
sst-speaker-050	3	0	2	0	0	1
sst-speaker-051	1	0	0	0	0	0
sst-speaker-052	1	0	0	0	0	0
sst-speaker-053	1	0	0	0	0	0
sst-speaker-054	1	0	0	0	0	1
sst-speaker-055	2	0	0	0	1	0
sst-speaker-056	1	0	0	0	0	0
sst-speaker-057	0	0	1	0	0	0
sst-speaker-058	2	1	0	0	0	0
sst-speaker-059	3	0	1	0	0	0
sst-speaker-060	1	0	0	0	0	0
sst-speaker-061	0	0	0	0	0	1
sst-speaker-062	0	1	0	0	0	0
sst-speaker-063	0	0	0	1	0	0
sst-speaker-064	1	0	0	0	0	0
sst-speaker-065	1	0	0	0	0	0
sst-speaker-066	1	0	0	0	0	0
sst-speaker-067	3	0	0	0	0	0
sst-speaker-068	2	0	0	0	0	0
sst-speaker-069	1	0	0	0	0	0
sst-speaker-070	1	0	0	0	0	0
sst-speaker-071	0	1	0	0	0	0
sst-speaker-072	1	0	0	0	0	0
sst-speaker-073	1	0	0	0	0	1
sst-speaker-074	1	0	0	0	0	1
sst-speaker-075	0	1	0	0	0	0
sst-speaker-076	0	0	0	0	1	0
sst-speaker-077	1	1	0	0	0	0
sst-speaker-078	1	0	0	0	0	0
sst-speaker-079	1	0	0	0	0	0
sst-speaker-080	1	0	0	0	0	0
sst-speaker-081	1	0	0	0	0	0
sst-speaker-082	1	0	0	0	0	1
sst-speaker-083	1	0	0	0	0	0
sst-speaker-084	0	1	0	0	0	0
sst-speaker-085	0	0	1	0	0	0
sst-speaker-086	0	0	0	0	1	0
sst-speaker-087	0	0	0	0	0	1
sst-speaker-088	1	0	0	0	0	0
sst-speaker-089	1	0	0	0	0	0
sst-speaker-090	0	0	0	0	0	1
sst-speaker-091	1	0	0	0	0	0
