anonymous_cluster_id	genre	SVO	SOV	VSO	VOS	OSV	OVS
suk-literary-0001	suk-literary	1	1	0	0	0	1
suk-literary-0002	suk-literary	1	0	0	0	0	0
suk-literary-0003	suk-literary	2	0	1	0	0	1
suk-literary-0004	suk-literary	7	0	0	0	0	1
suk-literary-0005	suk-literary	1	0	0	0	0	0
suk-literary-0006	suk-literary	1	0	0	0	0	0
suk-literary-0007	suk-literary	9	0	1	0	0	0
suk-literary-0008	suk-literary	3	2	0	0	0	0
suk-literary-0009	suk-literary	7	0	0	0	0	0
suk-literary-0010	suk-literary	2	0	0	0	0	0
suk-literary-0011	suk-literary	2	0	0	0	0	0
suk-literary-0012	suk-literary	0	0	0	0	0	1
suk-literary-0013	suk-literary	0	1	0	0	0	0
suk-literary-0014	suk-literary	4	0	0	0	0	0
suk-literary-0015	suk-literary	1	0	1	0	0	1
suk-literary-0016	suk-literary	1	0	0	0	0	1
suk-literary-0017	suk-literary	7	0	0	0	0	1
suk-literary-0018	suk-literary	1	0	0	0	0	0
suk-literary-0019	suk-literary	3	1	0	0	0	1
suk-literary-0020	suk-literary	4	0	0	0	0	1
suk-literary-0021	suk-literary	2	0	0	0	0	1
suk-literary-0022	suk-literary	0	0	0	1	0	0
suk-literary-0023	suk-literary	1	0	0	0	0	0
suk-literary-0024	suk-literary	2	0	0	0	0	0
suk-literary-0025	suk-literary	1	0	0	0	1	0
suk-literary-0026	suk-literary	2	0	0	0	0	0
suk-literary-0027	suk-literary	2	0	2	0	1	0
suk-literary-0028	suk-literary	1	1	0	0	0	1
suk-literary-0029	suk-literary	2	0	0	0	0	2
suk-literary-0030	suk-literary	2	0	0	0	0	0
suk-literary-0031	suk-literary	0	1	0	0	0	0
suk-literary-0032	suk-literary	0	0	0	1	0	0
suk-literary-0033	suk-literary	2	0	0	0	0	0
suk-literary-0034	suk-literary	1	0	0	0	0	0
suk-literary-0035	suk-literary	2	0	0	0	0	1
suk-literary-0036	suk-literary	0	0	0	0	0	1
suk-literary-0037	suk-literary	7	1	0	0	0	2
suk-literary-0038	suk-literary	1	0	0	0	0	0
suk-literary-0039	suk-literary	2	0	0	0	0	1
suk-literary-0040	suk-literary	2	0	0	0	0	0
suk-literary-0041	suk-literary	2	0	0	0	0	0
suk-literary-0042	suk-literary	1	0	0	0	0	0
suk-literary-0043	suk-literary	0	0	0	1	1	1
suk-literary-0044	suk-literary	1	0	0	0	1	0
suk-literary-0045	suk-literary	0	0	0	0	0	2
suk-literary-0046	suk-literary	1	0	0	0	0	0
suk-literary-0047	suk-literary	4	0	1	1	0	2
suk-literary-0048	suk-literary	3	0	0	0	0	3
suk-literary-0049	suk-literary	1	0	0	0	0	0
suk-literary-0050	suk-literary	2	0	0	0	0	1
suk-literary-0051	suk-literary	1	0	0	0	0	0
suk-literary-0052	suk-literary	1	0	0	0	0	0
suk-literary-0053	suk-literary	4	0	0	0	0	1
suk-literary-0054	suk-literary	2	0	0	0	0	0
suk-publicistic-0001	suk-publicistic	3	1	0	0	0	0
suk-publicistic-0002	suk-publicistic	1	0	1	0	0	0
suk-publicistic-0003	suk-publicistic	2	0	0	0	0	1
suk-publicistic-0004	suk-publicistic	1	1	0	0	0	0
suk-publicistic-0005	suk-publicistic	1	0	0	0	0	2
suk-publicistic-0006	suk-publicistic	1	0	0	0	0	0
suk-publicistic-0007	suk-publicistic	2	0	0	0	0	0
suk-publicistic-0008	suk-publicistic	4	0	0	0	0	0
suk-publicistic-0009	suk-publicistic	3	0	1	0	0	0
suk-publicistic-0010	suk-publicistic	1	0	0	0	0	3
suk-publicistic-0011	suk-publicistic	1	0	0	0	0	0
