corpus_id	corpus	pattern	count	total	proportion
janes-news	JANES-News	SVO	41928	57631	0.727525
janes-news	JANES-News	SOV	3348	57631	0.058094
janes-news	JANES-News	VSO	3077	57631	0.053391
janes-news	JANES-News	VOS	1805	57631	0.03132
janes-news	JANES-News	OSV	1499	57631	0.02601
janes-news	JANES-News	OVS	5974	57631	0.103659
janes-blog	JANES-Blog	SVO	120350	162867	0.738947
janes-blog	JANES-Blog	SOV	9867	162867	0.060583
janes-blog	JANES-Blog	VSO	6899	162867	0.04236
janes-blog	JANES-Blog	VOS	4387	162867	0.026936
janes-blog	JANES-Blog	OSV	4379	162867	0.026887
janes-blog	JANES-Blog	OVS	16985	162867	0.104288
janes-forum	JANES-Forum	SVO	111712	159153	0.701916
janes-forum	JANES-Forum	SOV	9516	159153	0.059792
janes-forum	JANES-Forum	VSO	12236	159153	0.076882
janes-forum	JANES-Forum	VOS	7319	159153	0.045987
janes-forum	JANES-Forum	OSV	4418	159153	0.027759
janes-forum	JANES-Forum	OVS	13952	159153	0.087664
janes-tweet	JANES-Tweet	SVO	384653	496602	0.77457
janes-tweet	JANES-Tweet	SOV	28770	496602	0.057934
janes-tweet	JANES-Tweet	VSO	17310	496602	0.034857
janes-tweet	JANES-Tweet	VOS	11291	496602	0.022737
janes-tweet	JANES-Tweet	OSV	10597	496602	0.021339
janes-tweet	JANES-Tweet	OVS	43981	496602	0.088564
janes-wiki	JANES-Wiki	SVO	8232	11281	0.729723
janes-wiki	JANES-Wiki	SOV	455	11281	0.040333
janes-wiki	JANES-Wiki	VSO	754	11281	0.066838
janes-wiki	JANES-Wiki	VOS	492	11281	0.043613
janes-wiki	JANES-Wiki	OSV	286	11281	0.025352
janes-wiki	JANES-Wiki	OVS	1062	11281	0.094141
classla-wikipedia	CLASSLA-Wikipedia	SVO	225336	296395	0.760256
classla-wikipedia	CLASSLA-Wikipedia	SOV	10613	296395	0.035807
classla-wikipedia	CLASSLA-Wikipedia	VSO	7554	296395	0.025486
classla-wikipedia	CLASSLA-Wikipedia	VOS	6398	296395	0.021586
classla-wikipedia	CLASSLA-Wikipedia	OSV	4386	296395	0.014798
classla-wikipedia	CLASSLA-Wikipedia	OVS	42108	296395	0.142067
parlamint	ParlaMint-SI	SVO	337886	497572	0.67907
parlamint	ParlaMint-SI	SOV	31837	497572	0.063985
parlamint	ParlaMint-SI	VSO	18345	497572	0.036869
parlamint	ParlaMint-SI	VOS	17326	497572	0.034821
parlamint	ParlaMint-SI	OSV	10377	497572	0.020855
parlamint	ParlaMint-SI	OVS	81801	497572	0.1644
kdsp	KDSP	SVO	32121	48234	0.665941
kdsp	KDSP	SOV	2478	48234	0.051375
kdsp	KDSP	VSO	5310	48234	0.110088
kdsp	KDSP	VOS	2103	48234	0.0436
kdsp	KDSP	OSV	1186	48234	0.024588
kdsp	KDSP	OVS	5036	48234	0.104408
human-essays	Human essays	SVO	1237	1671	0.7402752842609216
human-essays	Human essays	SOV	109	1671	0.06523040095751047
human-essays	Human essays	VSO	132	1671	0.07899461400359066
human-essays	Human essays	VOS	11	1671	0.006582884500299222
human-essays	Human essays	OSV	37	1671	0.022142429682824656
human-essays	Human essays	OVS	145	1671	0.08677438659485338
gpt5-essays	GPT-5 essays	SVO	2902	3248	0.8934729064039408
gpt5-essays	GPT-5 essays	SOV	125	3248	0.03848522167487685
gpt5-essays	GPT-5 essays	VSO	45	3248	0.013854679802955665
gpt5-essays	GPT-5 essays	VOS	5	3248	0.001539408866995074
gpt5-essays	GPT-5 essays	OSV	25	3248	0.00769704433497537
gpt5-essays	GPT-5 essays	OVS	146	3248	0.04495073891625616
